pk,classe,indFabricationReq,info
999,N/A,0,Non-Applicable
1,Portes vitrees,1,
2,Fenetres vitrees,1,
3,Murs rideaux,1,
4,Cloisons,1,
5,Panneaux composites,0,
6,Bois melamine,0,
7,Faux plafonds,0,
8,Faux planchers,0,
9,Films,0,
10,Couvres joint de dilatation,0,
11,Polycarbonates,0,
12,Abris auto,0,
13,Stop parking,0,
14,Gardes corps,0,
15,Brise soleil,0,
16,Store,0,
17,Profiles alu,0,
18,Divers profiles,0,
19,Verre,0,Peut etre utilise dans la production ou vendu separement
20,Accessoires,0,
21,Divers produits bruts,0,
22,Divers produits finis,0,
