pk,materiel_pk,prixRevient,prixVente,date,info
1,1,5940,10098,2023-03-11,cout de reviens par unite de quantification
2,2,3392,5766.4,2023-03-11,cout de reviens par unite de quantification
3,3,2552,4338.4,2023-03-11,cout de reviens par unite de quantification
4,4,3392,5766.4,2023-03-11,cout de reviens par unite de quantification
5,5,854,1451.8,2023-03-11,cout de reviens par unite de quantification
6,6,1701,2891.7,2023-03-11,cout de reviens par unite de quantification
7,7,1701,2891.7,2023-03-11,cout de reviens par unite de quantification
8,8,3392,5766.4,2023-03-11,cout de reviens par unite de quantification
9,9,854,1451.8,2023-03-11,cout de reviens par unite de quantification
10,10,1701,2891.7,2023-03-11,cout de reviens par unite de quantification
11,11,4241,7209.7,2023-03-11,cout de reviens par unite de quantification
12,12,5940,10098,2023-03-11,cout de reviens par unite de quantification
13,13,5084,8642.8,2023-03-11,cout de reviens par unite de quantification
14,14,1701,2891.7,2023-03-11,cout de reviens par unite de quantification
15,15,2552,4338.4,2023-03-11,cout de reviens par unite de quantification
16,16,6784,11532.8,2023-03-11,cout de reviens par unite de quantification
17,17,1701,2891.7,2023-03-11,cout de reviens par unite de quantification
18,18,854,1451.8,2023-03-11,cout de reviens par unite de quantification
19,19,1701,2891.7,2023-03-11,cout de reviens par unite de quantification
20,20,1701,2891.7,2023-03-11,cout de reviens par unite de quantification
21,21,14414,24503.8,2023-03-11,cout de reviens par unite de quantification
22,22,11871,20180.7,2023-03-11,cout de reviens par unite de quantification
23,23,2552,4338.4,2023-03-11,cout de reviens par unite de quantification
24,24,2552,4338.4,2023-03-11,cout de reviens par unite de quantification
25,25,16957,28826.9,2023-03-11,cout de reviens par unite de quantification
26,26,4241,7209.7,2023-03-11,cout de reviens par unite de quantification
27,27,4241,7209.7,2023-03-11,cout de reviens par unite de quantification
28,28,0,0,2023-03-11,cout de reviens par unite de quantification
29,29,4241,7209.7,2023-03-11,cout de reviens par unite de quantification
30,30,5940,10098,2023-03-11,cout de reviens par unite de quantification
31,31,2552,4338.4,2023-03-11,cout de reviens par unite de quantification
32,32,4241,7209.7,2023-03-11,cout de reviens par unite de quantification
33,33,1701,2891.7,2023-03-11,cout de reviens par unite de quantification
34,34,1701,2891.7,2023-03-11,cout de reviens par unite de quantification
35,35,1701,2891.7,2023-03-11,cout de reviens par unite de quantification
36,36,1701,2891.7,2023-03-11,cout de reviens par unite de quantification
37,37,1701,2891.7,2023-03-11,cout de reviens par unite de quantification
38,38,5940,10098,2023-03-11,cout de reviens par unite de quantification
39,39,0,0,2023-03-11,cout de reviens par unite de quantification
40,40,0,0,2023-03-11,cout de reviens par unite de quantification
41,41,14706,25000.2,2023-03-11,cout de reviens par unite de quantification
42,42,588,999.6,2023-03-11,cout de reviens par unite de quantification
43,43,11765,20000.5,2023-03-11,cout de reviens par unite de quantification
44,44,1471,2500.7,2023-03-11,cout de reviens par unite de quantification
45,45,4412,7500.4,2023-03-11,cout de reviens par unite de quantification
46,46,5882,9999.4,2023-03-11,cout de reviens par unite de quantification
47,47,2059,3500.3,2023-03-11,cout de reviens par unite de quantification
48,48,1618,2750.6,2023-03-11,cout de reviens par unite de quantification
49,49,1176,1999.2,2023-03-11,cout de reviens par unite de quantification
50,50,588,999.6,2023-03-11,cout de reviens par unite de quantification
51,51,765,1300.5,2023-03-11,cout de reviens par unite de quantification
52,52,3529,5999.3,2023-03-11,cout de reviens par unite de quantification
53,53,8824,15000.8,2023-03-11,cout de reviens par unite de quantification
54,54,38235,64999.5,2023-03-11,cout de reviens par unite de quantification
55,55,44118,75000.6,2023-03-11,cout de reviens par unite de quantification
56,56,14706,25000.2,2023-03-11,cout de reviens par unite de quantification
