pk,largeur,hauteur,profondeur
999,0,0,0
1,60,60,0
2,60,80,0
3,60,100,0
4,60,120,0
5,60,140,0
6,60,160,0
7,60,180,0
8,60,200,0
9,60,220,0
10,60,240,0
11,60,260,0
12,60,280,0
13,60,300,0
14,60,320,0
15,70,60,0
16,70,80,0
17,70,100,0
18,70,120,0
19,70,140,0
20,70,160,0
21,70,180,0
22,70,200,0
23,70,220,0
24,70,240,0
25,70,260,0
26,70,280,0
27,70,300,0
28,70,320,0
29,80,60,0
30,80,80,0
31,80,100,0
32,80,120,0
33,80,140,0
34,80,160,0
35,80,180,0
36,80,200,0
37,80,220,0
38,80,240,0
39,80,260,0
40,80,280,0
41,80,300,0
42,80,320,0
43,90,60,0
44,90,80,0
45,90,100,0
46,90,120,0
47,90,140,0
48,90,160,0
49,90,180,0
50,90,200,0
51,90,220,0
52,90,240,0
53,90,260,0
54,90,280,0
55,90,300,0
56,90,320,0
57,100,60,0
58,100,80,0
59,100,100,0
60,100,120,0
61,100,140,0
62,100,160,0
63,100,180,0
64,100,200,0
65,100,220,0
66,100,240,0
67,100,260,0
68,100,280,0
69,100,300,0
70,100,320,0
71,120,60,0
72,120,80,0
73,120,100,0
74,120,120,0
75,120,140,0
76,120,160,0
77,120,180,0
78,120,200,0
79,120,220,0
80,120,240,0
81,120,260,0
82,120,280,0
83,120,300,0
84,120,320,0
85,140,60,0
86,140,80,0
87,140,100,0
88,140,120,0
89,140,140,0
90,140,160,0
91,140,180,0
92,140,200,0
93,140,220,0
94,140,240,0
95,140,260,0
96,140,280,0
97,140,300,0
98,140,320,0
99,160,60,0
100,160,80,0
101,160,100,0
102,160,120,0
103,160,140,0
104,160,160,0
105,160,180,0
106,160,200,0
107,160,220,0
108,160,240,0
109,160,260,0
110,160,280,0
111,160,300,0
112,160,320,0
113,180,60,0
114,180,80,0
115,180,100,0
116,180,120,0
117,180,140,0
118,180,160,0
119,180,180,0
120,180,200,0
121,180,220,0
122,180,240,0
123,180,260,0
124,180,280,0
125,180,300,0
126,180,320,0
127,200,60,0
128,200,80,0
129,200,100,0
130,200,120,0
131,200,140,0
132,200,160,0
133,200,180,0
134,200,200,0
135,200,220,0
136,200,240,0
137,200,260,0
138,200,280,0
139,200,300,0
140,200,320,0
141,220,60,0
142,220,80,0
143,220,100,0
144,220,120,0
145,220,140,0
146,220,160,0
147,220,180,0
148,220,200,0
149,220,220,0
150,220,240,0
151,220,260,0
152,220,280,0
153,220,300,0
154,220,320,0
155,240,60,0
156,240,80,0
157,240,100,0
158,240,120,0
159,240,140,0
160,240,160,0
161,240,180,0
162,240,200,0
163,240,220,0
164,240,240,0
165,240,260,0
166,240,280,0
167,240,300,0
168,240,320,0
169,260,60,0
170,260,80,0
171,260,100,0
172,260,120,0
173,260,140,0
174,260,160,0
175,260,180,0
176,260,200,0
177,260,220,0
178,260,240,0
179,260,260,0
180,260,280,0
181,260,300,0
182,260,320,0
183,280,60,0
184,280,80,0
185,280,100,0
186,280,120,0
187,280,140,0
188,280,160,0
189,280,180,0
190,280,200,0
191,280,220,0
192,280,240,0
193,280,260,0
194,280,280,0
195,280,300,0
196,280,320,0
197,300,60,0
198,300,80,0
199,300,100,0
200,300,120,0
201,300,140,0
202,300,160,0
203,300,180,0
204,300,200,0
205,300,220,0
206,300,240,0
207,300,260,0
208,300,280,0
209,300,300,0
210,300,320,0
211,320,60,0
212,320,80,0
213,320,100,0
214,320,120,0
215,320,140,0
216,320,160,0
217,320,180,0
218,320,200,0
219,320,220,0
220,320,240,0
221,320,260,0
222,320,280,0
223,320,300,0
224,320,320,0
